AQW00061705         541C   497C   552C   522C   519C   479C   473C   474C   480C   507C   508C   538C
RQC00662801         302S   270S   329S   363S   437S   453S   477S   487S   460S   443S   394S   330S
RQC00662934         256R   228R   288R   324R   397S   435R   451R   462S   431S   415R   342S   282R
RQC00663409         223R   217P   282R   355R   428R   453R   448R   473R   448R   401R   387R   324R
RQC00663431         270S   238S   284S   322S   395S   436S   465S   471S   439S   426S   356S   302S
RQC00663657         358R   328R   384R   420R   487R   513R   539R   536R   501R   499R   439R   400R
RQC00664193         408R   374R   423R   453S   512R   524R   560R   573R   531R   530S   477R   448R
RQC00664276         270S   244S   305S   355S   436S   465S   479S   491S   463S   453S   379S   312S
RQC00664702         276S   259S   307S   335S   397S   421S   448S   465S   440S   434C   367S   321S
RQC00665064         284S   259S   316S   361S   439S   465S   491S   494S   469R   457S   379S   315S
RQC00665097         299R   265S   325S   370S   449S   475S   501S   498S   469S   454S   391S   321R
RQC00665693         397R   357R   414R   453R   521R   545R   573R   564R   546R   542R   467R   432R
RQC00665807         292S   259R   316R   345R   420S   460S   481S   488S   462R   449S   375S   324R
RQC00665908         132R   102R   155R   156R   211R   258R   260R   277R   260R   246R   198R   141R
RQC00666073         329R   302S   357S   387S   446R   468R   498R   494R   481R   488S   427S   375R
RQC00666258         372R   325S   384S   423R   488S   520R   541S   556S   516R   505R   447R   400R
RQC00666992           6R     3R     8R    13R    35R    56R    70R    90R    91R    77R    35R     9R
RQC00667292         374S   328S   377S   410S   476S   507S   538S   544S   506S   501S   441S   398S
RQC00668126         307Q   311Q   349Q   387Q   470Q   479Q   507Q   494Q   481Q   439Q   397Q   365Q
RQC00668306         327R   297R   361R   386R   462R   492R   510R   525R   497R   493R   410R   358R
RQC00668881         319R   283R   350R   378R   451R   466R   481R   476R   459R   456R   399R   353R
RQC00669521         330S   298S   353S   388S   457S   487S   510S   516S   498S   488S   412S   357S
RQC00669608         226R   192R   240R   273R   356R   375R   409R   411R   389R   380R   315R   257R
RQW00011603         333R   307R   358R   391S   443R   481R   491R   508R   483R   471R   418R   372R
RQW00011630         392R   350R   415R   445R   507R   535R   569R   578R   537R   530R   462R   426R
RQW00011641         391S   360S   431S   459S   524S   549S   570S   580S   555S   547S   466S   423S
USC00010063       -7777Q     1Q     6Q    24Q   137Q   296Q   414Q   412Q   217Q    33Q     6Q -7777Q
USC00010160       -7777S     1S    10S    42S   170S   350S   468S   439S   262S    68S    11S     2S
USC00010178           2R     3R    18R    60R   193R   393R   494R   480R   302R    85R    16R     3R
USC00010252           2S     4S    18S    54S   191S   368S   453S   445S   297S    93S    18S     4R
USC00010260       -7777Q -7777Q     4Q    28Q   116Q   290Q   417Q   397Q   200Q    38Q     5Q -7777Q
USC00010369       -7777S     1S     7S    29S   131S   292S   403S   392S   214S    46S     7S     1R
USC00010390       -7777R     1R     8R    44R   159R   336R   448R   439R   253R    53R     7R     1R
USC00010402           4S     7S    26S    86S   262S   420S   497S   482S   340S   132S    32S     9S
USC00010425       -7777R     2R     8R    46R   193R   375R   476R   449R   286R    79R     8R     1R
USC00010430           1R     2R    19R    59R   213R   380R   482R   470R   310R   112R    19R     3R
USC00010505       -7777R     1S    11R    49S   177S   371S   485S   471S   291S    78S    12R     2R
USC00010583           5S     7S    31S   100S   274S   427S   502S   496S   362S   146S    38S    11S
USC00010655       -7777S -7777S     5S    30S   136S   309S   412S   391S   208S    41S     5S     1S
USC00010764       -7777S     2S    11S    50S   188S   364S   480S   467S   282S    76S    11S     2S
USC00011080           4S     6C    25C    71C   235S   407C   484C   470C   324S   115S    27C     8C
USC00011084           8S     9S    32S    84S   240S   407S   494S   485R   329S   122S    31S    10S
USC00011099       -7777S -7777S     3S    29S   118S   284S   403S   377S   199S    31S     4S     1S
USC00011301           3R     5R    31R    84R   237R   414R   496R   485R   332R   113R    22R     6R
USC00011324       -7777R -7777R     6R    29R   126R   306R   418R   386R   237R    40R     6R     1R
USC00011490           0Q -7777Q     3Q    23Q   114Q   300Q   420Q   398Q   214Q    36Q     5Q     0Q
USC00011566           3R     4R    21R    73R   223R   380R   484R   468R   302R    99R    20R     5R
USC00011620           1S     2S    16S    60S   188S   362S   466S   445S   271S    79S    14S     3S
USC00011694           1R     1R    13R    45R   174S   343S   451S   429S   258S    66R    11R     2R
USC00011725           1R     3R    17R    50R   182R   356R   445R   423R   273R    83S    17R     3R
USC00011803           2R     4R    21R    74R   233R   386R   468R   465R   338R   135R    31R    11R
USC00012096       -7777R     1R     5R    26R   116R   285R   400R   388R   213R    38R     6R     1R
USC00012172           2C     3C    30S   132S   352S   496S   573S   573S   462S   233S    60S     9S
USC00012209       -7777Q     1Q     7Q    49Q   148Q   330Q   439Q   438Q   246Q    60Q     7Q     2Q
USC00012245           2R     2R    15S    55R   195R   364R   462R   451R   281R    79R    12R     4R
USC00012675           4S     8S    36S    98S   275S   435S   510S   494S   359S   150S    38S     9R
USC00012730           4S     7S    34S    86R   253S   440S   536R   516S   354R   131R    31S     7S
USC00012758           3R     6R    26R    74R   233S   399S   479S   471S   327S   120S    26R     8R
USC00012813           7C    10C    35C    99C   287C   447C   524C   516C   384C   164C    45C    16C
USC00012840       -7777R -7777R    10R    35R   137R   311R   435R   420R   218R    50R     7R     1R
USC00012883           1R     2R    19R    58R   184R   382R   497R   473R   281R    75R    12R     3R
USC00013043       -7777Q     1Q     7Q    35Q   149Q   331Q   446Q   442Q   255Q    53Q     7Q -7777Q
USC00013105           3R     4R    25R    77R   245R   393R   476R   459R   323R   115R    26R     6R
USC00013154       -7777S     1S     9S    47S   176S   364S   487S   467S   273S    67S     6S     1S
USC00013160           2S     3S    17S    63S   215S   402S   513S   502S   316S    94S    14S     4S
USC00013251           4S     7S    29R    81S   252S   417S   494R   479S   338S   127S    31S     9S
USC00013511           2R     4S    26S    82S   249C   440S   541C   530C   354S   123S    21S     4R
USC00013519           1S     3C    14C    52C   192C   354S   443S   436S   289S    93S    18S     3S
USC00013573       -7777R     1R     8R    38R   158R   349R   466R   462R   270R    61R     8R     1R
USC00013575       -7777R     1R     7R    45R   164R   353R   468R   459R   274R    69R     7R     2R
USC00013620           1S     1S    19S    70S   202S   383S   504S   499S   309S    95S    13S     2S
USC00013645           1S     1S     7S    34S   139S   316S   439S   427S   239S    52S     6S     1S
USC00013655       -7777Q     1Q     6Q    32Q   145Q   323Q   442Q   424Q   233Q    47Q     9Q -7777Q
USC00013761           3R     7R    35S   103S   293S   450S   522S   494S   346S   136S    34S     8R
USC00013775       -7777R -7777R     6S    27S   128R   292S   406S   389S   213S    43R     6S     1R
USC00013781       -7777Q     2Q    10Q    53Q   200Q   387Q   502Q   485Q   300Q    82Q    10Q     2Q
USC00013816           1S     2S    10S    39S   162S   314C   400S   392S   244S    70S    13S     2S
USC00014193           4S     5S    23S    76S   230S   402R   488S   473S   320S   111S    24S     8S
USC00014226       -7777R     1R     9R    34R   151R   326R   442R   436R   247R    49R     8R     1R
USC00014502       -7777R     1R     6R    33S   149R   318R   428R   406R   229R    58R     8R     1R
USC00014798           2R     3R    16R    60R   205R   389R   487R   477R   302R    83R    14R     4R
USC00015121           2S     2S    16S    60S   212S   389S   488R   470R   301R    93S    16S     3S
USC00015140           1R -7777R    10R    33R   157R   341R   449R   428R   273R    80R    10R     1R
USC00015439           2S     3S    19S    62C   224S   404S   505S   493R   321S    99R    21C     5R
USC00015553           2R     4R    16R    65R   225R   397R   494R   485R   306R    94R    18R     5R
USC00015635       -7777S     1S     8S    45S   150S   318S   431S   420S   231S    52S     7S     1S
USC00015752       -7777Q -7777Q     2Q    24Q   126Q   295Q   418Q   394Q   202Q    33Q     4Q -7777Q
USC00016000           0Q     1Q    17Q    53Q   169Q   350Q   460Q   440Q   272Q    55Q    13Q     2Q
USC00016121       -7777S     1S    10R    41R   150R   325R   443R   432S   245S    55R     8R     2R
USC00016129       -7777S     1S     8R    35R   158R   328R   440R   420R   250R    65S    10R     2S
USC00016196       -7777Q -7777Q     2Q    28Q   117Q   302Q   417Q   410Q   215Q    43Q     5Q     0Q
USC00016478       -7777S     1S     9S    39S   144S   310S   426S   416S   235S    56S     7S     2S
USC00016988           7S     8S    31S    83S   255S   420S   499S   493S   351S   138S    37S    14S
USC00017020       -7777R     1R    12R    38R   158R   335R   432R   405R   253R    67R     9R     1R
USC00017025       -7777R -7777R     9R    38R   150R   322R   420R   389R   216R    47R     5R     1R
USC00017131           1R     1R    10R    39R   140R   314S   434R   420R   236R    54R     8R     1R
USC00017157       -7777R     1R    11R    44R   144R   307R   425R   420R   228S    47R     6R     1S
USC00017207       -7777C -7777C     6C    29S   121S   286C   392C   377C   200S    40C     5C     1S
USC00017304       -7777S     1C     5S    31C   134R   320S   429S   416S   221S    44S     5S     1S
USC00017366           2R     4S    22R    68S   238S   422S   516C   504C   340S   112R    18R     4R
USC00017999           1S     1S    10S    41S   155S   323S   429S   408S   238S    56S    10S     2S
USC00018024       -7777S     1S     7S    35S   147S   321S   445S   423S   243S    55S    10S     1S
USC00018178           3S     5S    27S    77S   237S   404S   490S   482S   325S   110S    24S     6S
USC00018209           1S     2S    16S    58S   207S   386C   485S   471C   301S    88S    15S     3S
USC00018323           1S     4S    21S    69S   226R   399R   487S   476S   324S   113S    21S     4S
USC00018380           2S     5S    27S    81S   247S   431S   539S   530S   350S   112S    20S     5S
USC00018438           2C     4S    15C    48C   179C   360C   457C   437C   280S    86C    19C     3S
USC00018469       -7777S -7777S     3S    19S   104S   271S   389S   374S   196S    35S     4S     1S
USC00018517           1R     2S    14S    47S   170S   354S   466S   456S   269R    71R    12R     2R
USC00018812           0Q -7777Q     1Q    18Q   124Q   282Q   415Q   392Q   212Q    29Q     1Q -7777Q
USC00018859       -7777Q     4Q    17Q    48Q   207Q   378Q   482Q   468Q   324Q   107Q    15Q     1Q
USC00018867           2R     2R    20R    67R   212R   381R   465R   463R   298R    94R    21R     5R
USC00018998       -7777R     1R     6R    28S   133S   305S   417S   408S   228R    46R     7R     1R
USC00020060           0R -7777R     6R    52R   224R   448R   654R   628R   410R   119R     6R -7777R
USC00020080           7Q    20Q    92Q   218Q   446Q   666Q   815Q   789Q   645Q   365Q   101Q     6Q
USC00020100       -7777C     1C    31C   147C   407C   651S   857C   815S   584S   240S    22S -7777S
USC00020159           0S     0R     0S     0S -7777S     2S     7S     3S     1S -7777R     0S     0R
USC00020170           0Q     0Q     0Q     0Q -7777Q     5Q    19Q     9Q     1Q -7777Q     0Q     0Q
USC00020287       -7777S     1S     8S    55S   225S   473S   597S   533S   380S   118S     8S -7777S
USC00020288           2R     7R    41R   141R   372R   613R   787R   753R   575R   279R    48R     1R
USC00020404           1Q     3Q    35Q   156Q   405Q   651Q   814Q   773Q   581Q   250Q    26Q -7777Q
USC00020586           0R     0R -7777R    13R    93R   280R   453R   406R   230R    43R     1R     0R
USC00020632           1R     9R    42R   145R   383R   611R   803R   775R   579R   300R    59R     2R
USC00020670           0R     0R     1R    21R   134R   357R   502R   445R   249R    37R -7777R     0R
USC00020672       -7777S     1S    18R    90S   310S   559R   778R   738R   476R   155R     9R     0S
USC00020678           0R     0R     0R     0R     0R -7777R     6R     7R -7777R     0R     0R     0R
USC00020683           0R -7777R -7777R    21R   137R   360R   477R   415R   274R    46R     1R     0R
USC00020750           0S     0S -7777S -7777S    18S   124S   232S   163S    49S     1S     0S     0S
USC00020775           0R -7777R -7777R     9R    85R   271R   301R   221R   131R    13R -7777R     0R
USC00020808           0R     0R     0S -7777S    12S   117S   208S   160S    55S     4S -7777S     0S
USC00020871           0R     0R     0R -7777R     4S    40S   109S    57S    11S -7777R     0R     0R
USC00020949       -7777S     3S    32S   150S   402S   644S   856S   815S   572S   212S    16S -7777S
USC00020958           0S -7777S     3S    43S   202S   438S   525S   459S   300S    63S     1S     0S
USC00021001           0S     0R     0R     0R -7777R     6S    29S     9S -7777S     0S     0R     0R
USC00021026       -7777R     4R    34R   161R   416R   646R   834R   804R   580R   239R    22R -7777R
USC00021050           2S    12S    78S   240S   529S   766S   966S   933S   681S   325C    53S     1S
USC00021169           0R     0R     1R    18R   129R   346R   545R   471R   227R    21R -7777R     0R
USC00021231           0S -7777S -7777S     5S    61S   231S   305S   236S   127S    13S -7777S     0S
USC00021248           0S     0S -7777S     2S    38S   181S   340S   273S    86S     2S     0S     0S
USC00021282           2R     4R    39R   135R   368S   610S   770S   733R   557R   252R    42R     1R
USC00021306           1R     6R    45R   171R   417R   658R   825R   781R   590R   261R    34R -7777R
USC00021314       -7777S     2S    29S   138S   382S   624S   806S   763S   570S   240S    26S -7777S
USC00021330           0S -7777S     1S    27S   151S   380S   521S   482S   308S    73S     3S -7777S
USC00021353           1S     6S    33S   115S   333S   574S   747S   708S   534S   243S    42S     1S
USC00021357           0Q     0Q     1Q    46Q   187Q   441Q   618Q   536Q   388Q   111Q     8Q     0Q
USC00021514       -7777R     3R    35R   148S   399R   637R   790R   738R   567R   243R    29R     1R
USC00021574           0R     0R     0R -7777R     7R    56R   134R    69R    15R -7777R     0R     0R
USC00021614           0R -7777R     2R    30R   167R   398R   589R   539R   331R    79R     4R     0R
USC00021654           0Q     0Q -7777Q     3Q    54Q   205Q   369Q   329Q   141Q    10Q -7777Q     0Q
USC00021664           0R     0R     1S     8R    76R   257R   299R   250R   164R    30R     1R     0R
USC00021849           0R -7777R    12R    82R   309R   562R   666R   597R   419R   135R     8R -7777R
USC00021920           0R     0R -7777R     2R    34S   182S   343S   285R   111R     8R -7777R     0R
USC00022109           0S -7777S     1S    16S   108S   312S   493S   451S   270S    61S     3S     0S
USC00022140           0C -7777C     1C    16S   113C   303C   332S   258S   171C    31S     1S -7777S
USC00022329           0R     0R     0R -7777R    19R   126R   249R   175R    71R     5R     0R     0R
USC00022434           1R     7R    43R   149R   356R   582R   792R   789R   603R   264R    41R     1R
USC00022527           0R     0R     0R -7777R    17R   100R   240R   205R    70R     1R     0R     0R
USC00022659       -7777R -7777R     6R    43R   208R   431R   507R   443R   316R    88R     4R -7777R
USC00022754           0S     0S -7777S    16S   132S   361S   505C   451S   257S    36S     1S     0S
USC00022782           2Q     5Q    53Q   153Q   415Q   654Q   820Q   787Q   606Q   272Q    40Q -7777Q
USC00022790           2S    11S    78S   230S   491R   735S   925R   902S   688R   343R    54S     1S
USC00022807       -7777R     3R    33R   147R   372R   616R   775R   730R   546R   240R    25R -7777R
USC00023009           0R     0R     0R     0R -7777R     5R    34R    16R     1R     0R     0R     0R
USC00023027           3R     7R    53R   161R   398R   636R   798R   764R   588R   274R    45R     1R
USC00023110           0Q -7777Q     4Q    15Q   156Q   374Q   391Q   357Q   270Q    46Q     2Q -7777Q
USC00023150           0S -7777C     2C    43C   209S   447S   589S   529S   346S    82S     2S     0S
USC00023160           0S     0S     0S     0S -7777S     3S    17C     4S -7777S     0S     0S     0S
USC00023190       -7777S     5S    42S   157S   407S   639S   800S   784S   603S   290S    45S     1S
USC00023250           0Q     0Q     0Q -7777Q    12Q   127Q   314Q   246Q    68Q     1Q     0Q     0Q
USC00023303           0R     0R     0R -7777R     7R    88R   226R   179R    45R -7777R     0R     0R
USC00023393           3C    11C    70S   213S   469C   708C   904S   880C   681C   330C    58C -7777S
USC00023505           0R     0R     2R    24R   135R   364R   513R   448R   279R    63R     1R     0R
USC00023596           0S     0S     0S     0S     3S    36S   111S    67S    11S -7777S     0S     0S
USC00023668       -7777R     3R    26R   106R   318R   555R   648R   578R   467R   189R    21R -7777R
USC00023683           0S     0S     0S     0S -7777R     2S     5S     1S -7777S     0S     0S     0S
USC00023828           0R     0R     0R     0R -7777R     9S    37R    14S     1S     0R     0R     0R
USC00023961           0Q     0Q     0Q -7777Q     6Q    54Q   130Q    90Q    22Q -7777Q     0Q     0Q
USC00024053           0R     0R -7777R     6R    57R   220R   454R   423R   210R    18R -7777R     0R
USC00024089           0C     0S     0S     3S    44S   200S   375S   312S   120S     6S     0S     0S
USC00024453           0S     0S     1S    21S   128S   347S   459S   382S   223S    45S     1S     0S
USC00024586           0R     0R     0R -7777R     8R    88R   227R   173R    47R -7777R     0R     0R
USC00024645           0R -7777R     2R    27R   151R   371R   545R   479R   283R    64R     1R     0R
USC00024675           0S     0S -7777S     5S    42S   171S   201S   144S    95R    15R -7777R -7777S
USC00024686           0R     0R     0R     3R    31R   158R   272R   228R    75R     2R     0R     0R
USC00024702           9S    24S    88S   209S   440S   672S   837S   803S   639S   346S    88S     4S
USC00024759       -7777R     9R    80R   256R   557R   798R   981R   959R   712R   344R    54R -7777R
USC00024761           1R     6R    71R   235R   535R   778R   987R   958R   699R   328R    45R -7777R
USC00024829           2R     9R    59R   206R   474R   714S   877R   834R   634R   301R    46R     1R
USC00024849           0R     0R     3R    54R   265R   546R   725R   623R   345R    56R -7777R     0R
USC00024977       -7777R     5R    48R   184R   438R   670R   848R   811R   599R   272R    29R -7777R
USC00025129           0R     0R     0R -7777R    14R   121R   242R   184R    52R     1R     0R     0R
USC00025270       -7777C     2C    34C   155C   418C   669C   857C   815C   594C   239C    23C -7777C
USC00025412           0S     0S     0C     0S     1C    27C    59S    23C     3S     0S     0S     0S
USC00025426           0Q -7777Q     9Q    70Q   282Q   564Q   745Q   691Q   422Q   112Q     3Q     0Q
USC00025512       -7777S -7777S    11S    72S   259S   506S   635S   578R   422S   149S    14S -7777S
USC00025635           0S -7777S     1S    25S   151S   356S   556S   504S   289S    51S     1S     0S
USC00025665           0R     0R -7777R    11R   108R   329R   479R   374R   171R    13R -7777R     0R
USC00025700           2R     6R    45R   159R   419R   666R   797R   764R   597R   287R    52R     1R
USC00025780           0R     0R     0R     0R -7777R    10R    58R    35R     3R     0R     0R     0R
USC00025825           0Q     0Q -7777Q     3Q    60Q   235Q   353Q   321Q   160Q    17Q -7777Q     0Q
USC00025924           0S -7777S     1S    15S   102S   316S   449S   401S   257S    49S     1S     0S
USC00026037           0R     0R -7777S     2R    43S   177S   315S   269S   125S    12S -7777S     0S
USC00026119           0C -7777C     1C    22C   166S   397S   465S   391R   267S    71S     2S     0S
USC00026132           2S     8S    46S   140S   345S   562S   744S   713S   558S   260S    40S -7777S
USC00026180           0S     0S -7777S    18S   140S   383S   559S   470S   233S    23S -7777S     0S
USC00026190           0Q     0Q     0Q     1Q    38Q   187Q   353Q   275Q   108Q     4Q -7777Q     0Q
USC00026194           1Q     8Q    77Q   196Q   465Q   711Q   895Q   869Q   662Q   311Q    48Q -7777Q
USC00026242           0Q     0Q     0Q     7Q    58Q   214Q   229Q   165Q    95Q     6Q     0Q     0Q
USC00026250           1R    10R    72R   229R   493R   718R   905R   877R   666R   335R    53R -7777R
USC00026353           0R     0R -7777R    14R   125R   335R   418R   358R   214R    33R -7777R     0R
USC00026468           0S     0C     0C     2S    39C   197C   349C   286C   116C     5S     0C     0S
USC00026471           0S     1S    25S   138S   384S   641S   783S   685S   464S   149S     6S -7777S
USC00026513           1R     5R    46R   181R   432R   676R   815R   756R   584R   276R    44R     1R
USC00026597           0R     0R     0R -7777R     2R    44R    86R    54R    12R -7777R     0R     0R
USC00026601           0Q     0Q     0Q     0Q     4Q    52Q   114Q    85Q    18Q -7777Q     0Q     0Q
USC00026603           1Q     4Q    33Q    97Q   330Q   576Q   700Q   663Q   522Q   244Q    41Q     1Q
USC00026616           0S     0S -7777S     2S    41S   197C   389S   324S   117S     6S -7777S     0S
USC00026653           0R     0S     0S -7777S     9R    93S   252S   214S    72S     3S -7777R     0R
USC00026716           0S     0S -7777S     1S    18S   119S   188S   128S    37S     1S     0S     0S
USC00026796           0S     0S -7777R     1S    34S   156S   296S   235S    91S     6S     0S     0S
USC00026840           0R -7777R     6R    58S   241S   487S   674S   632R   423R   118R     4R     0R
USC00026865           1R     7R    70R   215R   493R   736R   935R   893R   660R   296R    37R -7777R
USC00027281           0S -7777S     8S    86S   318S   579S   711S   657S   470S   158S     6S     0S
USC00027370       -7777R     4R    34R   156R   397S   647R   826R   773R   585R   273R    35R -7777R
USC00027390           0S -7777S     4C    52C   225C   456C   567C   510C   337C    88C     3S     0S
USC00027435           0S     0S     0S     2S    32S   165S   289S   212S    71S     2S     0S     0S
USC00027480           0R -7777S     6R    77R   296R   548R   680R   632R   452R   151R     6R -7777S
USC00027488           0S     0S     0S -7777R    13S   112S   276S   241S    71S     2S     0S     0S
USC00027560           0R -7777R     1R    27R   174R   398R   513R   451R   291R    53R     2R     0R
USC00027593       -7777S     1R    14S    62R   219S   437R   467S   392R   315S   119R    13R -7777R
USC00027619       -7777S     1S     5S    33C   155S   380S   480S   423S   311S    97S     6R -7777S
USC00027625           0R     0R     1R    18R   123R   343R   483R   437R   270R    58R     3R     0R
USC00027708           0S -7777S     3S    24S   137S   355S   507S   454S   273S    68S     3S     0R
USC00027716           0S     0S     0S     1S    23S   134S   294S   246S    88S     3S -7777S     0S
USC00027855           0S     0S     0C -7777C    21C   128S   231C   161C    58C     1C     0S     0S
USC00027880           0R -7777R     4S    35R   176R   393R   432R   366R   259R    67R     3R -7777R
USC00028012           0C     0C     0C -7777C    20C   128C   278C   223C    74C     2C     0C     0C
USC00028018           0R     0R     0R     2R    25R   135R   281R   207R    78R     4R -7777R     0R
USC00028112       -7777S     4S    34S   131S   350S   555R   727R   707R   524R   219R    18R -7777R
USC00028162           0S     0S     0S -7777S     4S    42S   106S    58S    10S -7777S     0S     0R
USC00028214       -7777S     3S    25S   118S   350R   590R   770S   732R   543S   232R    27R -7777R
USC00028329           0S     0S     0S -7777S     4S    31S    74S    31S     4S -7777S     0S     0S
USC00028348           3R     7R    37R   130R   339R   591R   688R   645R   515R   267R    53R     2R
USC00028396           1S     6S    51S   166S   409S   629S   851S   845S   635S   280S    31S -7777S
USC00028468           0S     0S -7777S     5S    76R   286S   449S   364S   141S     5S     0R     0R
USC00028499           1S     4S    38S   151S   387S   606S   776S   746S   566S   256S    35R -7777S
USC00028516           0R -7777R    32R   164R   440R   728R   934R   868R   589R   204R    11R -7777R
USC00028619       -7777C -7777C     4C    42C   188C   402C   443C   375C   278C    79C     4C -7777S
USC00028641           1R     4R    40R   150R   420R   651R   852R   818R   589R   243R    25R -7777R
USC00028792           0R     0R -7777R     7R    81R   266R   436R   377R   163R    11R -7777R     0R
USC00028795           2R     5S    35S   142S   363S   603S   700S   637S   512S   230R    39R     2R
USC00028796           1R     2R    24R   112R   330S   568S   694S   654S   504S   199R    22R -7777R
USC00028800       -7777R     2R    18R    96R   302R   555R   682R   640R   488R   194R    21R -7777R
USC00028815           1S     4S    37S   142S   380S   612S   691S   643S   519S   227S    29S     1S
USC00028817           1R     4R    31S   127S   357S   594S   711S   665S   522S   224S    28R     1R
USC00028865       -7777C -7777S     3S    34S   151C   383C   488S   426S   288C    72C     3S -7777S
USC00028904           0S -7777R     1S    30S   176S   406S   575S   513S   309R    65R     1R     0R
USC00029114           0S     0S     1S    29S   188S   446S   637R   553R   302S    42S -7777S     0R
USC00029156           0Q     0Q     0Q -7777Q    12Q    82Q   187Q   103Q    30Q -7777Q     0Q     0Q
USC00029158           0C     0S     0C -7777C    13C    90S   236C   193C    56C     1C     0C     0C
USC00029271           0R     0R -7777R     1R    27S   152S   281S   227R    97R     6R -7777R     0R
USC00029287       -7777S -7777S     7S    47S   211S   436S   663S   628S   411S   121S     5S     0S
USC00029309       -7777R -7777R     6R    58R   240R   458R   690R   649R   420R   138R    10R -7777R
USC00029334           0S     0S -7777S    16S   128S   340S   471S   411S   250S    36S -7777S     0S
USC00029359           0S     0C     0S -7777S     8C    68C   138C    86C    22C -7777C     0C     0S
USC00029376       -7777R     6S    67R   230R   519R   756S   958S   908R   663R   310R    41R -7777R
USC00029410           0R     0R     0R -7777R     5R    59R   119R    73R    10R -7777R     0R     0R
USC00029464       -7777Q     1Q    25Q   123Q   395Q   633Q   818Q   787Q   564Q   252Q    20Q -7777Q
USC00029542           0C     0S -7777C    14C   115S   330S   482S   393S   189S    18C -7777C     0C
USC00029634           1S     8S    59S   196S   462S   694S   873S   839S   636S   299S    42S     1S
USC00029645       -7777S     2S    22S   102S   335S   591S   809S   761S   522S   186S    16S -7777S
USC00029652           1R     6R    55R   162R   380R   600R   812R   821R   633R   298R    43R -7777R
USC00029656           3R    15R    90R   217R   443R   663R   852R   842R   636R   312R    65R     1R
USC00030064       -7777S -7777S     4S    31S   157S   373S   482S   446S   214S    46S     3S -7777S
USC00030130       -7777S -7777S     6S    31S   130S   315S   449S   436S   227S    49S     3S -7777S
USC00030220       -7777R     1R    11R    48R   177R   371S   491S   480S   269S    63S     6R     1R
USC00030240       -7777S     2S    15S    67S   212S   402S   508S   484S   290S    84S    11S     2S
USC00030458       -7777S -7777S     3S    22S   101S   276S   415S   401S   182S    34S     3S -7777S
USC00030460       -7777S -7777S     5S    33R   145R   348S   487S   454S   222S    44R     5S -7777R
USC00030536       -7777S     1S    11S    61C   211C   422S   527S   479C   258C    67C    10S     1S
USC00030582           1R     1R    12S    53S   188S   387S   513S   494S   275S    71S     9S     1S
USC00030586           0R -7777R     3R    22R    87R   248R   393R   381R   172R    28R     3R -7777R
