,COUNTY,NAME,ST,Num_household,Household_size,Age25_over,Num_pov_det,Num_in_pov,Median_hhinc,Incpc,median_rent_value,median_home_value,state,county,Pop_under18,Pop_over25,Pop_over65,High_school_orless,College_ormore,unemp_rate,Pov_rate,Share_highschool_orless,Share_college_ormore,aqi_good_2013,aqi_bad_2013,aqi_good_2014,aqi_bad_2014,aqi_good_2015,aqi_bad_2015,aqi_good_2016,aqi_bad_2016,aqi_good_2017,aqi_bad_2017,Unnamed: 0,crime_rate_2010,crime_rate_2011,crime_rate_2012,crime_rate_2013,crime_rate_2014,Latitude,Longitude,aqi_good,aqi_bad,crime_rate,Apr_avg_temp,Apr_max_temp,Apr_min_temp,Apr_prcp,Apr_snow,Aug_avg_temp,Aug_max_temp,Aug_min_temp,Aug_prcp,Aug_snow,Dec_avg_temp,Dec_max_temp,Dec_min_temp,Dec_prcp,Dec_snow,Feb_avg_temp,Feb_max_temp,Feb_min_temp,Feb_prcp,Feb_snow,Jan_avg_temp,Jan_max_temp,Jan_min_temp,Jan_prcp,Jan_snow,Jul_avg_temp,Jul_max_temp,Jul_min_temp,Jul_prcp,Jul_snow,Jun_avg_temp,Jun_max_temp,Jun_min_temp,Jun_prcp,Jun_snow,Mar_avg_temp,Mar_max_temp,Mar_min_temp,Mar_prcp,Mar_snow,May_avg_temp,May_max_temp,May_min_temp,May_prcp,May_snow,Nov_avg_temp,Nov_max_temp,Nov_min_temp,Nov_prcp,Nov_snow,Oct_avg_temp,Oct_max_temp,Oct_min_temp,Oct_prcp,Oct_snow,Sep_avg_temp,Sep_max_temp,Sep_min_temp,Sep_prcp,Sep_snow,winter_avg_temp,summer_avg_temp,annual_avg_temp,Region,State_name,Population,Hispanic_Latino,White,Black,Asian,Hispanic_Latino_share,White_share,Black_share,Asian_share,Share_over65,Share_under18,airport,dist_airport
10,21,"Chilton County, Alabama",1,1382,16237,29472,43282,8288,41627,21399,448,100100,1,21,10616,29472,6542,17926,4151,0.084982598,0.191488379,0.608238328,0.140845548,0.849122807,0,0.827838828,0,0.852140078,0,0.840163934,0,0.954372624,0,10,0.032170107,0.039632408,0.034444419,0.03505291,0.033504803,32.85406,86.726628,0.864727654,0,0.03496093,61.4,74.6,48.2,4.69,0,78.9,89.7,68,3.93,0,45.4,56.2,34.6,5.36,0,46.9,58.6,35.1,5.6,0,43.1,54,32.2,5.35,0.1,79.6,90.1,69,5.55,0,76.4,87.4,65.4,4.93,0,54.5,67.3,41.7,5.72,0.5,69.7,81.6,57.8,4.11,0,53.4,65.5,41.3,5.34,0,62.7,75.2,50.3,3.46,0,73.2,84.7,61.7,3.84,0,45.13333333,78.3,62.1,SOUTHEAST,Alabama,43643,3420,35395,4171,125,0.078363082,0.811012075,0.095570882,0.002864148,0.149898036,0.24324634,Shelby County Airport,36.19809881
11,23,"Choctaw County, Alabama",1,886,5575,9534,13202,3093,33536,20755,312,61100,1,23,2818,9534,2713,5762,1126,0.134504091,0.234282684,0.604363331,0.118103629,0.958677686,0,0.94214876,0,0.979253112,0,0.95754717,0,0.967213115,0,11,0.006012612,0.008257935,0.007538462,0.0073632,0.00795965,31.991008,88.248887,0.960967969,0,0.007426372,64.4,76.7,52,5.13,,82.1,91.7,72.5,4.28,,47.9,59.8,36.1,5.3,,49.8,61.6,37.9,5.36,,46.1,57.8,34.4,4.65,,82,92,72,5.18,,79.5,89.6,69.3,5.28,,58,70.6,45.3,6.43,,72.8,83.4,62.1,4.48,,55.9,67.5,44.3,4.89,,65.2,77.5,52.8,3.66,,76.3,86.8,65.7,4.49,,47.93333333,81.2,65,SOUTHEAST,Alabama,13859,73,7700,5990,12,0.005267335,0.555595642,0.432210116,0.000865863,0.19575727,0.203333574,Key Field,60.71307645
12,25,"Clarke County, Alabama",1,1211,9622,17128,24683,6107,32011,20064,362,86900,1,25,5754,17128,4391,10854,2217,0.190212466,0.247417251,0.633699206,0.129437179,0.968181818,0,0.962655602,0,0.742038217,0,0.9375,0,0.923529412,0,12,0.014671157,0.021574142,0.028529886,0.019213584,0.021868305,31.685521,87.818624,0.90678101,0,0.021171415,63.4,76.4,50.3,4.18,0.1,79.9,90.7,69.2,3.72,0,48.2,60.4,36,5.77,0.1,49.2,62,36.5,5.66,0,45.9,58.3,33.5,5.73,0.1,80,90.6,69.4,6.31,0,77.7,88.7,66.7,5.26,0,56.4,69.6,43.3,5.97,0,71.3,83.3,59.2,4.29,0,55.9,69.1,42.7,5.04,0,64.7,77.7,51.7,3.29,0,74.7,86.1,63.3,4.26,0,47.76666667,79.2,63.94166667,SOUTHEAST,Alabama,25833,271,13943,11280,74,0.010490458,0.539735997,0.436650795,0.002864553,0.169976387,0.222738358,Mobile Regional Airport,117.4227167
13,27,"Clay County, Alabama",1,559,5419,9535,13219,2201,35327,18905,292,84100,1,27,2975,9535,2557,5837,914,0.080101486,0.166502761,0.612165705,0.095857368,0.847457627,0,0.842105263,0,0.901785714,0,0.939655172,0,0.844827586,0,13,0.007464829,0.012715194,0.013651387,0.012342892,0.011048074,33.267809,85.862051,0.875166273,0,0.011444475,59.9,74,45.9,4.49,0.2,77.6,89.4,65.9,4.47,0,44.1,56.3,31.9,5.27,0.3,45.9,58.6,33.3,5.89,0.3,42,54.2,29.8,5.18,0.8,78,89.6,66.4,5.11,0,74.7,86.9,62.4,4.35,0,52.9,66.6,39.1,5.85,0.6,67.8,80.8,54.9,4.72,0,52.7,66.1,39.2,5.14,0,61.4,75.1,47.7,3.95,0,71.6,84,59.2,3.73,0,44,76.76666667,60.71666667,SOUTHEAST,Alabama,13932,399,11186,2048,23,0.028639104,0.802899799,0.146999713,0.001650876,0.18353431,0.213537181,Anniston Metropolitan Airport,35.53713786
14,29,"Cleburne County, Alabama",1,697,5776,10420,14777,2508,38056,20151,367,108000,1,29,3481,10420,2655,6578,1257,0.079901659,0.169723219,0.631285988,0.120633397,0.847457627,0,0.842105263,0,0.901785714,0,0.939655172,0,0.844827586,0,14,0.020571734,0.041709314,0.020342397,0.014609401,0.022519821,33.671981,85.516109,0.875166273,0,0.023950534,59.3,72.9,45.7,4.42,0.2,77.6,88.4,66.7,3.55,0,43.1,54.5,31.7,4.72,0.1,44.6,56.6,32.6,5.76,0.2,40.9,52.4,29.5,5.09,0.6,78.1,88.8,67.4,5.5,0,74.7,85.9,63.4,4.31,0,52.2,65.3,39.1,5.32,0.6,67.4,79.5,55.4,4.95,0,51.5,64.2,38.8,4.71,0,60.9,74,47.7,3.45,0,71.4,83.1,59.8,3.27,0,42.86666667,76.8,60.14166667,SOUTHEAST,Alabama,14972,307,13956,494,23,0.020504943,0.932139995,0.032994924,0.001536201,0.177331018,0.232500668,Anniston Metropolitan Airport,33.06375075
15,31,"Coffee County, Alabama",1,3491,19160,34464,50232,8581,46729,24936,495,142400,1,31,12124,34464,7848,15442,8223,0.065932073,0.170827361,0.448061746,0.238596797,0.848901099,0,0.805479452,0,0.905817175,0,0.836065574,0,0.82320442,0,15,0.028409546,0.033613613,0.026690847,0.025572475,0.028479281,31.402183,85.989201,0.843893544,0,0.028553152,65.7,77.9,53.5,3.99,0,81,90.9,71,4.52,0,51.4,62.3,40.4,4.48,0,53,64.4,41.7,4.6,0,49,60,38.1,5.31,0,81.4,91.5,71.4,5.99,0,79.5,90,69,5,0,59.5,71.5,47.4,5.85,0,73.7,85.2,62.1,3.59,0,59.3,70.8,47.8,4.11,0,68,79.5,56.6,3.03,0,76.9,87.5,66.3,3.84,0,51.13333333,80.63333333,66.53333333,SOUTHEAST,Alabama,49948,3180,36134,8257,629,0.063666213,0.72343237,0.165311924,0.012593097,0.157123408,0.242732442,Cairns AAF (Fort Rucker) Air Field,29.75816484
16,33,"Colbert County, Alabama",1,2110,22204,38008,53995,9406,40576,22546,418,99400,1,33,11852,38008,9833,19267,7063,0.087915907,0.174201315,0.506919596,0.185829299,0.884210526,0,0.883802817,0,0.896428571,0,0.914893617,0,0.914285714,0,16,0.026016021,0.035509234,0.04301036,0.037561101,0.043203314,34.703112,87.801457,0.898724249,0,0.037060006,60,71.7,48.3,,,78.8,90.1,67.4,,,42.5,52.5,32.5,,,43,54,31.9,,,39.4,49.7,29.1,,,78.9,89.4,68.3,,,75.5,86.6,64.3,,,51.5,63.5,39.4,,,68.2,79.5,56.9,,,51.1,62.5,39.6,,,60.7,73.3,48,,,71.9,83.6,60.2,,,41.63333333,77.73333333,60.125,SOUTHEAST,Alabama,54428,1093,43334,8702,224,0.020081576,0.796171088,0.159880944,0.004115529,0.180660689,0.217755567,Northwest Alabama Regional Airport,18.13228576
17,35,"Conecuh County, Alabama",1,676,5168,8905,12789,4320,24900,15968,328,70100,1,35,2846,8905,2517,5913,732,0.225131996,0.337790289,0.664008984,0.082201011,0.821917808,0,0.789041096,0,0.849315068,0,0.885245902,0,0.806629834,0,17,0.029735073,0.038485755,0.036935705,0.031375891,0.02899853,31.428293,86.992029,0.830429942,0,0.033106191,64,77.1,50.8,4.46,0,80.2,90.6,69.8,5.07,0,49.4,60.8,38,5.06,0.1,50.7,63,38.4,5.33,0,47.2,58.8,35.6,5.67,0,80.5,90.9,70,6.51,0,78.3,89.2,67.4,5.52,0,57.5,70.6,44.3,6.14,0,72.1,84.2,59.9,4.52,0,56.9,69.3,44.5,4.88,0,66.1,78.2,54.1,3.55,0,75.7,86.6,64.9,4.31,0,49.1,79.66666667,64.88333333,SOUTHEAST,Alabama,13228,161,6764,6122,17,0.012171152,0.511339583,0.462806169,0.001285153,0.190278198,0.215149682,South Alabama Regional At Bill Benton Field Airport,58.43420361
18,37,"Coosa County, Alabama",1,575,4450,8022,10750,2073,31212,17519,336,78300,1,37,2045,8022,1969,5097,679,0.168307968,0.192837209,0.635377711,0.084642234,0.93852459,0,0.914285714,0,0.957081545,0,0.914529915,0,0.952380952,0,18,0.000298092,0.028856135,0.027441756,0.025128434,0.023897416,32.931445,86.243482,0.935360543,0,0.021124367,61.6,74.7,48.6,4.57,0.2,78.1,88.1,68,4.9,0,46.3,56.6,36,5.07,0,48,59.3,36.7,5.73,0.1,44.2,54.5,33.9,5.37,0.3,79,89.5,68.4,5.4,0,76.2,87.1,65.2,3.82,0,55.2,67.9,42.6,5.63,0.4,69.3,81.1,57.5,4.19,0,54,65,42.9,5.05,0,63.2,74.3,52.1,2.89,0,73.1,83.4,62.8,3.96,0,46.16666667,77.76666667,62.35,SOUTHEAST,Alabama,11539,230,7604,3556,14,0.019932403,0.658982581,0.308172285,0.001213277,0.170638704,0.177225063,Maxwell Air Force Base,61.90555081
19,39,"Covington County, Alabama",1,2331,14949,26470,37169,7515,36444,20977,362,93600,1,39,8409,26470,7419,14233,3792,0.108139237,0.202184616,0.53770306,0.143256517,0.952908587,0,0.923076923,0,0.969863014,0,0.945355191,0,0.917127072,0,19,0.022745929,0.028302633,0.028839863,0.03335468,0.023313572,31.243987,86.448721,0.941666157,0,0.027311335,66.2,78.6,53.8,,,81.9,91.4,72.3,,,51.7,62.6,40.7,,,53.8,65.1,42.5,,,50.4,61.4,39.3,,,82.1,91.7,72.5,,,80.1,90.2,69.9,,,58.9,71.1,46.7,,,74.1,85.6,62.5,,,58.8,70.8,46.8,,,67.6,79.2,55.9,,,77.6,87.6,67.6,,,51.96666667,81.36666667,66.93333333,SOUTHEAST,Alabama,37765,483,31751,4685,148,0.01278962,0.840752019,0.124056666,0.003918973,0.196451741,0.22266649,South Alabama Regional At Bill Benton Field Airport,8.887789512
20,41,"Crenshaw County, Alabama",1,972,5383,9548,13719,2288,36022,20585,312,70600,1,41,3214,9548,2377,5734,1364,0.088704319,0.166776004,0.600544617,0.142857143,0.842105263,0,0.827464789,0,0.632311978,0,0.785123967,0,0.707865169,0.005617978,20,0.016241737,0.025027203,0.022903034,0.022457067,0.021041713,31.732826,86.319222,0.758974233,0.001123596,0.021534151,60.8,75,46.7,3.95,,77.7,89.3,66,5.06,,45.9,58.4,33.4,4.5,,47.3,60.5,34.2,5.07,,43.6,56,31.1,4.92,,77.9,89.5,66.3,5.12,,75.5,87.7,63.2,5.16,,54.3,68.2,40.4,6.05,,69.2,82.5,56,3.86,,54.1,67.8,40.5,5.02,,63.2,76.6,49.7,3.29,,72.8,85.2,60.3,3.72,,45.6,77.03333333,61.85833333,SOUTHEAST,Alabama,13906,204,10020,3241,189,0.014669927,0.72055228,0.233064864,0.013591256,0.17093341,0.231123256,Troy Municipal Airport at N Kenneth Campbell Field,32.34236561
21,43,"Cullman County, Alabama",1,3070,31287,55773,79885,14814,38971,20881,423,115200,1,43,18283,55773,14033,29456,8123,0.065461694,0.185441572,0.528140857,0.14564395,0.843971631,0,0.840989399,0,0.82739726,0,0.832876712,0,0.850828729,0,21,0.026328881,0.028331662,0.027912786,0.021937843,0.024101297,34.131923,86.869267,0.839212746,0,0.025722494,60.7,75,46.3,4.87,,78.6,91.5,65.6,3.94,,42.5,55.3,29.7,5.62,,44.8,57.9,31.7,5.72,,40.3,53.1,27.6,5.69,,78.7,91.6,65.8,4.44,,75.2,88.3,62,4.5,,52.7,66.8,38.6,5.33,,68.4,82,54.7,5.45,,50.8,65.1,36.6,5.18,,60.7,75.7,45.8,3.94,,72,85.8,58.2,4.45,,42.53333333,77.5,60.45,SOUTHEAST,Alabama,80406,3454,74568,821,339,0.042956993,0.927393478,0.010210681,0.004216103,0.174526777,0.227383529,Huntsville International Carl T Jones Field,56.71513108
22,45,"Dale County, Alabama",1,2413,19018,33245,48624,9306,45028,22566,449,101700,1,45,11918,33245,7429,15562,5437,0.096893563,0.191386969,0.468100466,0.16354339,0.90877193,0,0.863799283,0,0.915194346,0,0.946428571,0,0.892857143,0,22,0.023062656,0.0335294,0.030311474,0.032027038,0.033795181,31.430654,85.609476,0.905410255,0,0.03054515,65.7,78.1,53.2,3.52,,81.1,91.1,71.1,4.48,,51.3,62.5,40,4.39,,53,64.8,41.1,4.77,,48.9,60.1,37.7,4.63,,81.9,91.9,71.9,5.95,,79.8,90.1,69.5,5.6,,58.9,71,46.7,5.88,,74.3,85.9,62.6,3.56,,58.7,71,46.4,4.19,,67.5,79.6,55.4,3.41,,76.6,87.5,65.6,3.59,,51.06666667,80.93333333,66.475,SOUTHEAST,Alabama,50251,2821,35705,9546,527,0.056138186,0.710533124,0.189966369,0.010487353,0.147837854,0.23716941,Cairns AAF (Fort Rucker) Air Field,19.82306847
23,47,"Dallas County, Alabama",1,1657,16413,27453,41648,14580,27306,17808,342,81500,1,47,10770,27453,6428,15525,3848,0.159949165,0.350076834,0.565511966,0.140166831,0.842105263,0,0.827464789,0,0.632311978,0,0.785123967,0,0.707865169,0.005617978,23,0.03877225,0.07912607,0.061232933,0.057435608,0.068963029,32.33354,87.114356,0.758974233,0.001123596,0.061105978,63.7,76.4,51,3.93,0.1,81.3,91.6,70.9,4.42,0,48.2,59.1,37.3,4.89,0,50.2,61.5,38.9,5.03,0,46.4,57.4,35.4,4.75,0.1,81.7,92,71.3,4.72,0,79.1,89.8,68.3,4.07,0,57.1,69.6,44.7,5.47,0.1,72.3,84,60.5,3.26,0,56.2,68.6,43.7,4.55,0,65.9,77.7,54,2.68,0,76.2,86.9,65.5,3.32,0,48.26666667,80.7,64.85833333,SOUTHEAST,Alabama,43820,309,12676,30314,144,0.007051575,0.289274304,0.691784573,0.003286171,0.146691009,0.245778183,Montgomery Regional (Dannelly Field) Airport,67.93156509
